Column1,Column2,Column3,Column4,Column5,Column6,Column7
Al Iaquinta,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987",http://ufcstats.com/fighter-details/59279a7c978f7da0
Al Matavao,"5' 8""",205 lbs.,"67""",Orthodox,"Feb 23, 1994",http://ufcstats.com/fighter-details/eec3fe66a8b11a26
Alan Baudot,"6' 3""",243 lbs.,"79""",Orthodox,"Feb 01, 1988",http://ufcstats.com/fighter-details/c9a94278df042f46
Alan Belcher,"6' 2""",185 lbs.,"75""",Orthodox,"Apr 24, 1984",http://ufcstats.com/fighter-details/4130a743d9d22163
Alan Gomez,--,155 lbs.,--,,--,http://ufcstats.com/fighter-details/0a66de3a797cf73a
Alan Hiro,"5' 5""",135 lbs.,--,Orthodox,"Apr 04, 1986",http://ufcstats.com/fighter-details/483b3170b3c05cf0
Alan Jouban,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981",http://ufcstats.com/fighter-details/cf65d56b0755ed3b
Alan Omer,"5' 10""",145 lbs.,--,Orthodox,"Sep 14, 1988",http://ufcstats.com/fighter-details/f2ad06f1007c481a
Alan Patrick,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983",http://ufcstats.com/fighter-details/cd7763bcadb5d4c8
Alatengheili,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",http://ufcstats.com/fighter-details/1897b7b913736a7c
Alavutdin Gadjiev,"6' 2""",185 lbs.,--,Orthodox,"Jun 23, 1982",http://ufcstats.com/fighter-details/a7a79b8efbceaaac
Albert Cheng,"5' 11""",170 lbs.,--,Orthodox,"Feb 07, 1985",http://ufcstats.com/fighter-details/d8d7b24d276c8cb0
Albert Duraev,"5' 11""",185 lbs.,"75""",Orthodox,"Jan 05, 1989",http://ufcstats.com/fighter-details/6b7c7460855dbbb9
Albert Morales,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991",http://ufcstats.com/fighter-details/544d7460b3e44393
Albert Rios,"5' 8""",145 lbs.,--,,--,http://ufcstats.com/fighter-details/868a78f2e810a837
Albert Tumenov,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991",http://ufcstats.com/fighter-details/ff6a1f63c254127e
Alberta Cerra Leon,"5' 8""",238 lbs.,--,,--,http://ufcstats.com/fighter-details/6e02c318762f52f1
Alberto Crane,"5' 5""",155 lbs.,--,Orthodox,"Jul 14, 1976",http://ufcstats.com/fighter-details/25433871e4eee0f4
Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982",http://ufcstats.com/fighter-details/4b1d46a1b5c0fd11
Alberto Montes,"5' 7""",135 lbs.,--,,"May 31, 1994",http://ufcstats.com/fighter-details/a112097ad877a48f
Alberto Uda,"6' 3""",185 lbs.,--,Orthodox,"Aug 08, 1984",http://ufcstats.com/fighter-details/8f2deefe8c5dfb5d
Alejandro Flores,"5' 10""",145 lbs.,"73""",Orthodox,"Aug 06, 1991",http://ufcstats.com/fighter-details/d23d5960ac5e117c
Alejandro Garcia,"5' 7""",145 lbs.,--,,--,http://ufcstats.com/fighter-details/e5dc36e0aba7e9da
Alejandro Perez,"5' 6""",135 lbs.,"65""",Orthodox,"Sep 02, 1989",http://ufcstats.com/fighter-details/80daefbed11ce998
Alejandro Villalobos,"5' 7""",145 lbs.,--,,"Oct 26, 1979",http://ufcstats.com/fighter-details/2e88f2030d8a928a
Aleksa Camur,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 25, 1995",http://ufcstats.com/fighter-details/c2a670b22d2e196f
Aleksandar Rakic,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992",http://ufcstats.com/fighter-details/333b9e5c723ac873
Aleksander Emelianenko,"6' 6""",255 lbs.,--,Orthodox,"Aug 02, 1981",http://ufcstats.com/fighter-details/f54200f1dfb9b5d4
Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",http://ufcstats.com/fighter-details/e76d9f656ceb82ab
Aleksei Kunchenko,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984",http://ufcstats.com/fighter-details/e2ccd9a9ace60de7
Aleksei Oleinik,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977",http://ufcstats.com/fighter-details/98c23cb6da5b3352
Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Alessandro Costa,--,125 lbs.,--,,"Jan 28, 1996",http://ufcstats.com/fighter-details/3fa97913cfd205d3
Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",http://ufcstats.com/fighter-details/77d7295d1b22c694
Alessio Sakara,"6' 0""",185 lbs.,"72""",Orthodox,"Sep 02, 1981",http://ufcstats.com/fighter-details/7f955f71fa2ce7ac
Alex Andrade,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",http://ufcstats.com/fighter-details/1562b12763cc8d67
Alex Caceres,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988",http://ufcstats.com/fighter-details/7aa3d6964eff4877
Alex Chambers,"5' 3""",115 lbs.,"63""",Southpaw,"Oct 25, 1978",http://ufcstats.com/fighter-details/26b63bc5c0c1f65d
Alex Crispin,--,155 lbs.,--,,--,http://ufcstats.com/fighter-details/8944a0f9b2f0ce6d
Alex Da Silva,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996",http://ufcstats.com/fighter-details/c3ded6f7155f9ea4
Alex Dunworth,"5' 8""",155 lbs.,--,,--,http://ufcstats.com/fighter-details/31732a614e7a3d1d
Alex Enlund,"5' 10""",145 lbs.,--,Orthodox,"May 27, 1987",http://ufcstats.com/fighter-details/d238217e0f8ea8e1
Alex Garcia,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987",http://ufcstats.com/fighter-details/a2b12c3f3d60ff69
Alex Gilpin,"5' 7""",145 lbs.,--,Orthodox,"Mar 26, 1992",http://ufcstats.com/fighter-details/762c69860eef65d8
Alex Gorgees,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995",http://ufcstats.com/fighter-details/803bebcfb6d6f506
Alex Higley,"5' 10""",145 lbs.,--,,--,http://ufcstats.com/fighter-details/2af2d675f7d847e3
Alex Huddleston,"6' 7""",254 lbs.,--,,"Aug 11, 1986",http://ufcstats.com/fighter-details/8b9197746bd3e005
Alex Hunter,"5' 9""",226 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/baa5358456803df8
Alex Karalexis,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977",http://ufcstats.com/fighter-details/e361e5c858af6ff1
Alex Morgan,"5' 10""",145 lbs.,--,,"May 14, 1991",http://ufcstats.com/fighter-details/938ea36fe9c269f0
Alex Morono,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",http://ufcstats.com/fighter-details/cdb96af67d096b1e
Alex Nicholson,"6' 4""",185 lbs.,"77""",Orthodox,"May 02, 1990",http://ufcstats.com/fighter-details/2b6d855c6e280fb1
Alex Oliveira,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988",http://ufcstats.com/fighter-details/57b10fca4f9c9a7a
Alex Pereira,"6' 4""",185 lbs.,"79""",Orthodox,"Jul 07, 1987",http://ufcstats.com/fighter-details/e5549c82bfb5582d
Alex Perez,"5' 6""",125 lbs.,"65""",Orthodox,"Mar 21, 1992",http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f
Alex Reyes,"5' 11""",170 lbs.,"73""",Orthodox,"Oct 02, 1986",http://ufcstats.com/fighter-details/dc07493a87dc0a6e
Alex Ricci,"5' 11""",155 lbs.,--,Orthodox,"Jul 21, 1982",http://ufcstats.com/fighter-details/bf9bc96336922271
Alex Schoenauer,"6' 3""",185 lbs.,--,Orthodox,"May 05, 1976",http://ufcstats.com/fighter-details/fdfef29ba17ee525
Alex Serdyukov,"6' 2""",170 lbs.,"74""",Orthodox,"May 24, 1980",http://ufcstats.com/fighter-details/253d3f9e97ca149a
Alex Soto,"5' 8""",135 lbs.,--,Southpaw,"Feb 15, 1984",http://ufcstats.com/fighter-details/d18dbcb0f8e2b55d
Alex Stiebling,"6' 2""",205 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/df5a77121ba84a5d
Alex Torres,"5' 10""",145 lbs.,--,Orthodox,"May 29, 1988",http://ufcstats.com/fighter-details/e4e0f310b3cf23a8
Alex White,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988",http://ufcstats.com/fighter-details/c17041f1bb5768d8
Alex Zuniga,--,145 lbs.,--,,--,http://ufcstats.com/fighter-details/02d808afb96669de
Alexa Grasso,"5' 5""",125 lbs.,"66""",Orthodox,"Aug 09, 1993",http://ufcstats.com/fighter-details/e8b731feff72294b
Alexander Crispim,--,145 lbs.,--,,--,http://ufcstats.com/fighter-details/15dedd05f8bcb475
Alexander Gustafsson,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987",http://ufcstats.com/fighter-details/3c6976f8182d9527
Alexander Hernandez,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992",http://ufcstats.com/fighter-details/262a7d06203657e6
Alexander Munoz,"5' 9""",155 lbs.,"72""",Switch,"Feb 27, 1990",http://ufcstats.com/fighter-details/f8f1ec513bcfef43
Alexander Otsuka,"6' 1""",205 lbs.,--,Orthodox,"Jul 17, 1971",http://ufcstats.com/fighter-details/865aa315ea62c511
Alexander Poppeck,"6' 2""",205 lbs.,--,Orthodox,"Apr 06, 1992",http://ufcstats.com/fighter-details/56bf3ed155bd0fcd
Alexander Sarnavskiy,"5' 11""",155 lbs.,--,,"Jan 17, 1989",http://ufcstats.com/fighter-details/2097b1a5ff47dfb0
Alexander Shlemenko,"5' 11""",185 lbs.,--,,"May 20, 1984",http://ufcstats.com/fighter-details/ed3ea649b34ddb6c
Alexander Trevino,--,170 lbs.,--,,--,http://ufcstats.com/fighter-details/73abb7a5c57fb443
Alexander Volkanovski,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988",http://ufcstats.com/fighter-details/e1248941344b3288
Alexander Volkov,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988",http://ufcstats.com/fighter-details/279566840aa55bf2
Alexander Yakovlev,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984",http://ufcstats.com/fighter-details/d06f8869449ba7bd
Alexandr Romanov,"6' 2""",262 lbs.,"75""",Southpaw,"Dec 11, 1990",http://ufcstats.com/fighter-details/c0badf3243907e59
Alexandre Barros,"5' 9""",170 lbs.,--,Southpaw,"Nov 19, 1976",http://ufcstats.com/fighter-details/8fd1f27e86661ede
Alexandre Dantas,"6' 2""",238 lbs.,--,Orthodox,"Mar 01, 1979",http://ufcstats.com/fighter-details/8dc46e9a7895ce1a
Alexandre Ferreira,"5' 7""",205 lbs.,--,Orthodox,"Apr 25, 1979",http://ufcstats.com/fighter-details/28ba5f27e473420c
Alexandre Franca Nogueira,"5' 7""",145 lbs.,--,Orthodox,"Jan 15, 1978",http://ufcstats.com/fighter-details/4c27ca8c8481f79a
Alexandre Pantoja,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",http://ufcstats.com/fighter-details/a0f0004aadf10b71
Alexandru Lungu,"6' 0""",385 lbs.,--,Orthodox,"Sep 03, 1974",http://ufcstats.com/fighter-details/4887e5bc4dbb73ff
Alexis Davis,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 04, 1984",http://ufcstats.com/fighter-details/4c2d90e335e6df19
Alexis Dufresne,"5' 9""",135 lbs.,--,Orthodox,"Aug 31, 1990",http://ufcstats.com/fighter-details/4ae4049426e0161d
Alfonso Alcarez,"5' 3""",145 lbs.,--,,"Jun 10, 1970",http://ufcstats.com/fighter-details/1e38bba6738b7b10
Alfred Khashakyan,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 17, 1988",http://ufcstats.com/fighter-details/3929efe0c0a83d07
Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",http://ufcstats.com/fighter-details/e87a13e02c01331d
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",http://ufcstats.com/fighter-details/3dd92ff9fb0412b3
Aliaskhab Khizriev,"5' 9""",185 lbs.,"74""",Southpaw,"Aug 24, 1990",http://ufcstats.com/fighter-details/7ab478c397cd68ef
Aliev Makhmud,"5' 6""",195 lbs.,--,Southpaw,"Feb 13, 1970",http://ufcstats.com/fighter-details/3d481aa374c954a1
Alistair Overeem,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980",http://ufcstats.com/fighter-details/b4ad3a06ee4d660c
Aljamain Sterling,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 31, 1989",http://ufcstats.com/fighter-details/cb696ebfb6598724
Allan Begosso,"5' 4""",135 lbs.,--,,"Nov 23, 1995",http://ufcstats.com/fighter-details/d6ed764f8b78d32a
Allan Goes,"6' 0""",205 lbs.,--,Orthodox,"Apr 20, 1971",http://ufcstats.com/fighter-details/e62b36885ecdac27
Allan Nascimento,"5' 8""",125 lbs.,"69""",Orthodox,"Sep 11, 1991",http://ufcstats.com/fighter-details/253076a23d03dcd0
Allan Zuniga,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992",http://ufcstats.com/fighter-details/523af801b3429015
Allen Berube,"5' 8""",155 lbs.,--,Orthodox,"Aug 25, 1974",http://ufcstats.com/fighter-details/aebfb84d1f6d2d8c
Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989",http://ufcstats.com/fighter-details/a9d6e047ce48ab63
Alonzo Martinez,"5' 10""",155 lbs.,--,,"Apr 22, 1984",http://ufcstats.com/fighter-details/feffee4fc6da3aa3
Alonzo Menifield,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987",http://ufcstats.com/fighter-details/a495f599e787614f
Alptekin Ozkilic,"5' 5""",125 lbs.,"65""",Orthodox,"Mar 27, 1986",http://ufcstats.com/fighter-details/e18a19001a3f7c7d
Alton Cunningham,"6' 2""",205 lbs.,"77""",Orthodox,"Jun 24, 1993",http://ufcstats.com/fighter-details/305bde44ff664788
Alvaro Herrera Mendoza,"6' 0""",155 lbs.,"74""",Orthodox,"May 14, 1990",http://ufcstats.com/fighter-details/74d35fbc9c6a61bd
Alvin Cacdac,"5' 6""",125 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/ce7871949b0ed2bf
Alvin Robinson,"5' 9""",155 lbs.,"68""",Southpaw,"Jul 16, 1982",http://ufcstats.com/fighter-details/cbe79765d44bd172
Amador Ramirez,--,135 lbs.,--,,"Jun 14, 1990",http://ufcstats.com/fighter-details/ac31f869959860bc
Amanda Cooper,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991",http://ufcstats.com/fighter-details/d4a31850a7457f1b
Amanda Lemos,"5' 4""",115 lbs.,"65""",Southpaw,"May 22, 1987",http://ufcstats.com/fighter-details/3df5493bb279226f
Amanda Nunes,"5' 8""",135 lbs.,"69""",Orthodox,"May 30, 1988",http://ufcstats.com/fighter-details/80fa8218c99f9c58
Amanda Ribas,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 26, 1993",http://ufcstats.com/fighter-details/beecb672a279223e
Amar Suloev,"5' 9""",183 lbs.,--,Orthodox,"Jul 01, 1976",http://ufcstats.com/fighter-details/7aa88401f93ce836
Amaury Bitetti,"5' 9""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/7a359ef685a304a7
Amber Tackett,--,115 lbs.,--,,--,http://ufcstats.com/fighter-details/bb01bc3c57f39b04
Amilcar Alves,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",http://ufcstats.com/fighter-details/6d35bf94f7d30241
Amir Aliakbari,"6' 3""",250 lbs.,--,,"Jun 10, 1984",http://ufcstats.com/fighter-details/e17770faae3ca54c
Amir Rahnavardi,"6' 0""",205 lbs.,--,Orthodox,"Dec 07, 1974",http://ufcstats.com/fighter-details/bc7f7f0ba3db74d2
Amir Sadollah,"5' 10""",170 lbs.,"75""",Orthodox,"Aug 27, 1980",http://ufcstats.com/fighter-details/2650e2f846a30f64
Amiran Gogoladze,"6' 0""",170 lbs.,--,,"Dec 09, 1997",http://ufcstats.com/fighter-details/5d1636b6c1688502
Anatoly Tokov,"5' 10""",185 lbs.,--,,"Feb 17, 1990",http://ufcstats.com/fighter-details/679ae8c4fd022c6b
Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985",http://ufcstats.com/fighter-details/bbc9ab95fa766493
Anderson Silva,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 14, 1975",http://ufcstats.com/fighter-details/1f454354805b6f75
Andre Amado,"6' 0""",154 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/20821819c401ced8
Andre Ewell,"5' 8""",145 lbs.,"75""",Southpaw,"Jan 21, 1988",http://ufcstats.com/fighter-details/5f6f049d54728e88
Andre Fialho,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 07, 1994",http://ufcstats.com/fighter-details/33efaf2d0941cfcf
Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",http://ufcstats.com/fighter-details/8fd808923cffff82
Andre Galvao,"5' 7""",168 lbs.,--,Orthodox,"Sep 29, 1982",http://ufcstats.com/fighter-details/45fe6765c56d8018
Andre Gusmao,"6' 0""",205 lbs.,--,Orthodox,"May 19, 1977",http://ufcstats.com/fighter-details/cc300e9aa3063431
Andre Muniz,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 17, 1990",http://ufcstats.com/fighter-details/886264a0c9f4ea5e
Andre Mussi,"6' 3""",242 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/d0d43cb9b14f231c
Andre Pederneiras,"5' 8""",155 lbs.,--,Orthodox,"Mar 22, 1967",http://ufcstats.com/fighter-details/bba678d312590087
Andre Petroski,"6' 0""",185 lbs.,"73""",Switch,"Jun 12, 1991",http://ufcstats.com/fighter-details/5f61780fe5e9b6d0
Andre Roberts,"6' 2""",345 lbs.,--,Orthodox,"Feb 24, 1965",http://ufcstats.com/fighter-details/a54a35a670d8e852
Andre Santos,"6' 0""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/5b5b78116d1fc3eb
Andre Soukhamthath,"5' 9""",135 lbs.,"70""",Orthodox,"Oct 23, 1988",http://ufcstats.com/fighter-details/d0e50a3d1b250708
Andre Walker,"5' 11""",205 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/18944a1a6ac1becf
